BFE-nummer,Adresse,Offentlig ejendomsværdi,Offentlige grundværdi,Seneste handelspris,Enhedsareal - Beboelse,Pris pr. m2,Seneste handelsdato,Seneste handlet andel,Handelsmetode,Anvendelse,Opførelsesår,Tinglyst areal (Ejerlejligheder),Longitude,Latitude,Primær ejers adresse,Vejnavn,Husnr.,Etage,Antal værelser
133848,"Reberbanegade 21, 3. th, 2300 København S", kr. 920.000, kr. 142.600, kr. 2.595.000,  50   , kr. 51.900,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1940,  44   ,"12,60576546","55,66244402","Reberbanegade 21,3 th, 2300 København S",Reberbanegade,21,3,2
113420,"Ørestads Boulevard 59A, 4. 402, 2300 København S", kr. 2.200.000, kr. 459.000, kr. 3.730.000,  108   , kr. 34.537,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2005,  95   ,"12,58191418","55,63399005","Rafns Alle 1A, 9000 Aalborg",Ørestads Boulevard,59A,4,1
129242,"Saltholmsvej 6, 5., 2300 København S", kr. 870.000, kr. 77.600, kr. 2.307.000,  47   , kr. 49.085,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1902,  39   ,"12,6086273","55,65949282","Lillevangsvej 224, 3480 Fredensborg",Saltholmsvej,6,5,2
127358,"Ålandsgade 15, st. th, 2300 København S", kr. 1.050.000, kr. 124.700, kr. 1.500.000,  64   , kr. 23.437,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1901,  57   ,"12,60519725","55,66390258","Ålandsgade 15,st th, 2300 København S",Ålandsgade,15,st,2
118300,"Edvard Thomsens Vej 25, st. th, 2300 København S", kr. 1.250.000, kr. 282.300, kr. 2.995.000,  67   , kr. 44.701,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  60   ,"12,57477385","55,63304004","None, 2300 København S",Edvard Thomsens Vej,25,st,2
105036,"Amagerfælledvej 11, 2. tv, 2300 København S", kr. 1.800.000, kr. 140.000, kr. 4.960.400,  102   , kr. 48.631,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1915,  95   ,"12,59552586","55,66730087","Amagerfælledvej 11,2 tv, 2300 København S",Amagerfælledvej,11,2,4
105108,"Carl Th. Zahles Gade 8, 5. mf, 2300 København S", kr. 2.200.000, kr. 369.900, kr. 4.850.000,  91   , kr. 53.296,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2005,  80   ,"12,57442632","55,66226146","Carl Th. Zahles Gade 8,5 mf, 2300 København S",Carl Th. Zahles Gade,8,5,2
135456,"Cypernsvej 3, 1. tv, 2300 København S", kr. 910.000, kr. 90.300, kr. 2.170.000,  53   , kr. 40.943,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1934,  48   ,"12,61674865","55,65198517","Cypernsvej 3,1 tv, 2300 København S",Cypernsvej,3,1,2
113846,"Edvard Thomsens Vej 79, 6. th, 2300 København S", kr. 1.950.000, kr. 389.400, kr. 3.750.000,  97   , kr. 38.659,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2006,  89   ,"12,57872453","55,63240068","Edvard Thomsens Vej 79,6 th, 2300 København S",Edvard Thomsens Vej,79,6,4
130780,"Sorrentovej 13, 1. mf, 2300 København S", kr. 480.000, kr. 80.200, kr. 1.411.000,  26   , kr. 54.269,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1941,  23   ,"12,62306209","55,65829192","Sorrentovej 13,1 mf, 2300 København S",Sorrentovej,13,1,1
421369,"Strandlodsvej 23C, 3. tv, 2300 København S", kr. 3.000.000, kr. 374.000, kr. 6.975.000,  132   , kr. 52.840,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2021,  120   ,"12,62563654","55,66530886","Strandlodsvej 23C,3 tv, 2300 København S",Strandlodsvej,23C,3,4
118789,"Edvard Thomsens Vej 57, 6. 1, 2300 København S", kr. 2.150.000, kr. 455.800, kr. 3.595.000,  108   , kr. 33.287,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  83   ,"12,57705204","55,63269814","Edvard Thomsens Vej 57,6,-1, 2300 København S",Edvard Thomsens Vej,57,6,3
140150,"Richard Mortensens Vej 81, 2. 1, 2300 København S", kr. 2.300.000, kr. 498.800, kr. 3.905.000,  110   , kr. 35.500,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2010,  98   ,"12,5705851","55,61676511","Richard Mortensens V 81,2,-1, 2300 København S",Richard Mortensens Vej,81,2,3
119704,"Edvard Thomsens Vej 5D, 2. 2, 2300 København S", kr. 1.500.000, kr. 284.500, kr. 2.995.000,  76   , kr. 39.407,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  68   ,"12,57322387","55,63255788","Edvard Thomsens Vej 5D,2,-2, 2300 København S",Edvard Thomsens Vej,5D,2,2
135274,"Ålandsgade 57, 2. th, 2300 København S", kr. 1.250.000, kr. 118.000, kr. 3.295.000,  70   , kr. 47.071,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1940,  65   ,"12,60770749","55,66190437","Ålandsgade 57,2 th, 2300 København S",Ålandsgade,57,2,2
127313,"Tovværkgade 4, st. th, 2300 København S", kr. 1.050.000, kr. 93.500, kr. 2.845.000,  63   , kr. 45.158,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1900,  56   ,"12,60283962","55,66291903","Skibbroen 46, 2450 København SV",Tovværkgade,4,st,3
104622,"Weidekampsgade 65, 5. th, 2300 København S", kr. 2.650.000, kr. 443.100, kr. 5.925.000,  96   , kr. 61.718,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2006,  83   ,"12,5808128","55,66774497","Weidekampsgade 65,5 th, 2300 København S",Weidekampsgade,65,5,3
112326,"Jens Otto Krags Gade 17, 5. 2, 2300 København S", kr. 1.600.000, kr. 312.500, kr. 3.562.500,  77   , kr. 46.266,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2006,  65   ,"12,57018086","55,65890247","Skolevej 1A, 8800 Viborg",Jens Otto Krags Gade,17,5,2
105876,"Anders Henriksens Gade 7, 4. th, 2300 København S", kr. 1.300.000, kr. 121.200, kr. 3.981.666,  77   , kr. 51.709,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1918,  70   ,"12,59979958","55,66428654","Bellahøjvej 100,4 th, 2720 Vanløse",Anders Henriksens Gade,7,4,3
113362,"Ørestads Boulevard 59A, 5. 506, 2300 København S", kr. 2.250.000, kr. 468.700, kr. 3.800.000,  109   , kr. 34.862,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2005,  96   ,"12,58191418","55,63399005","Ørestads Boulevard 59A,5,-506, 2300 København S",Ørestads Boulevard,59A,5,3
105522,"Norgesgade 2, 3. tv, 2300 København S", kr. 1.400.000, kr. 152.100, kr. 4.845.000,  86   , kr. 56.337,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1918,  77   ,"12,60002314","55,66428707","Norgesgade 2,3 tv, 2300 København S",Norgesgade,2,3,4
136663,"Florensvej 9, st. th, 2300 København S", kr. 860.000, kr. 137.200, kr. 2.550.000,  52   , kr. 49.038,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1940,  49   ,"12,62163322","55,65757711","Krimsvej 5C,st tv, 2300 København S",Florensvej,9,st,2
100213370,"Else Alfelts Vej 12, 6. 3, 2300 København S",-,-, kr. 3.700.000,  71   , kr. 52.112,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2019,  65   ,"12,56968092","55,62289197","Else Alfelts Vej 12,6,-3, 2300 København S",Else Alfelts Vej,12,6,3
142931,"Englandsvej 16, st. tv, 2300 København S", kr. 1.150.000, kr. 70.300, kr. 2.845.000,  85   , kr. 33.470,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1939,  79   ,"12,60548687","55,65731216","Kongelundsvej 111, 2300 København S",Englandsvej,16,st,3
131228,"Strandlodsvej 19G, 4. tv, 2300 København S", kr. 2.300.000, kr. 422.700, kr. 4.797.000,  100   , kr. 47.970,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",-,  91   ,"12,62354545","55,66517377","Strandlodsvej 19G,4 tv, 2300 København S",Strandlodsvej,19G,4,4
105880,"Anders Henriksens Gade 5, 1. tv, 2300 København S", kr. 890.000, kr. 90.400, kr. 2.705.000,  52   , kr. 52.019,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1918,  44   ,"12,59971265","55,66434286","Stålmosevænget 1, 4000 Roskilde",Anders Henriksens Gade,5,1,2
140270,"Østerdalsgade 3B, 1. mf, 2300 København S", kr. 1.050.000, kr. 128.800, kr. 2.855.000,  68   , kr. 41.985,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1936,  63   ,"12,60272073","55,65510918","Østerdalsgade 3B,1 mf, 2300 København S",Østerdalsgade,3B,1,2
139194,"Robert Jacobsens Vej 82, 7. 3, 2300 København S", kr. 2.650.000, kr. 623.500, kr. 6.795.000,  132   , kr. 51.477,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2010,  120   ,"12,57196634","55,6167048","Robert Jacobsens Vej 82,7,-3, 2300 København S",Robert Jacobsens Vej,82,7,4
130574,"Vermlandsgade 74, 5. tv, 2300 København S", kr. 1.000.000, kr. 191.700, kr. 2.845.000,  57   , kr. 49.912,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1931,  50   ,"12,61161805","55,66670575","Vermlandsgade 74,5 tv, 2300 København S",Vermlandsgade,74,5,2
138325,"Englandsvej 34D, 2. th, 2300 København S", kr. 950.000, kr. 120.500, kr. 2.275.000,  60   , kr. 37.916,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1935,  51   ,"12,60376143","55,65533324","Kalvebodvej 166, 2791 Dragør",Englandsvej,34D,2,2
136003,"Frankrigsgade 27, 3. mf, 2300 København S", kr. 770.000, kr. 69.300, kr. 2.075.000,  42   , kr. 49.404,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1936,  36   ,"12,60851401","55,66222601","Frankrigsgade 27,3 mf, 2300 København S",Frankrigsgade,27,3,1
126958,"Reberbanegade 8, 4. th, 2300 København S", kr. 1.050.000, kr. 93.500, kr. 3.570.000,  57   , kr. 62.631,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1900,  50   ,"12,60319334","55,66293921","Reberbanegade 8,4 th, 2300 København S",Reberbanegade,8,4,3
113704,"Islands Brygge 161, 1. tv, 2300 København S", kr. 3.450.000, kr. 306.600, kr. 6.425.000,  123   , kr. 52.235,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",-,  108   ,"12,56540017","55,65507138","Islands Brygge 161,1 tv, 2300 København S",Islands Brygge,161,1,4
421327,"Strandlodsvej 23G, 5. th, 2300 København S", kr. 1.650.000, kr. 239.700, kr. 4.950.000,  94   , kr. 52.659,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2021,  77   ,"12,62538463","55,66557438","Strandlodsvej 23G,5 th, 2300 København S",Strandlodsvej,23G,5,3
126482,"Lybækgade 3, st. tv, 2300 København S", kr. 1.050.000, kr. 55.900, kr. 3.045.000,  58   , kr. 52.500,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1902,  51   ,"12,60871511","55,66518752","Fjordvej 20, 5800 Nyborg",Lybækgade,3,st,3
139280,"Valmuevej 10, st., 2300 København S", kr. 960.000, kr. 109.300, kr. 3.195.000,  70   , kr. 45.642,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1932,  63   ,"12,60949281","55,64928504","Valmuevej 10,st, 2300 København S",Valmuevej,10,st,3
134184,"Parmagade 36, 4. tv, 2300 København S", kr. 610.000, kr. 91.500, kr. 2.760.000,  71   , kr. 38.873,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1934,  67   ,"12,61583839","55,65312119","Kornstykket 6, 2791 Dragør",Parmagade,36,4,3
136017,"Frankrigshusene 1, 4. tv, 2300 København S", kr. 930.000, kr. 82.700, kr. 2.175.000,  49   , kr. 44.387,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1936,  43   ,"12,60849292","55,66232168","Frankrigshusene 1,4 tv, 2300 København S",Frankrigshusene,1,4,2
138726,"Robert Jacobsens Vej 74, 7. p7, 2300 København S", kr. 2.100.000, kr. 493.600, kr. 4.750.000,  106   , kr. 44.811,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2010,  94   ,"12,57194339","55,61742482","None, 2300 København S",Robert Jacobsens Vej,74,7,3
109376,"C.F. Møllers Allé 68, 5. tv, 2300 København S", kr. 1.950.000, kr. 393.300, kr. 3.995.000,  98   , kr. 40.765,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  85   ,"12,57776102","55,63457005","C.F. Møllers Allé 68,5 tv, 2300 København S",C.F. Møllers Allé,68,5,3
104538,"Hollænderdybet 20, 2. th, 2300 København S", kr. 1.600.000, kr. 145.000, kr. 5.010.000,  97   , kr. 51.649,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1917,  91   ,"12,59707725","55,66447327",-,Hollænderdybet,20,2,4
130637,"Kretavej 15, 2. th, 2300 København S", kr. 1.000.000, kr. 116.200, kr. 2.195.000,  59   , kr. 37.203,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1936,  55   ,"12,61882796","55,65289098","Kretavej 15,2 th, 2300 København S",Kretavej,15,2,2
136046,"Frankrigsgade 19, 4. tv, 2300 København S", kr. 960.000, kr. 90.400, kr. 2.395.000,  52   , kr. 46.057,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1936,  47   ,"12,60801829","55,66196806","Frankrigsgade 19,4 tv, 2300 København S",Frankrigsgade,19,4,2
105525,"Norgesgade 2, 4. th, 2300 København S", kr. 2.500.000, kr. 247.500, kr. 6.895.000,  148   , kr. 46.587,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1918,  139   ,"12,60002314","55,66428707","Norgesgade 2,4 th, 2300 København S",Norgesgade,2,4,5
107738,"Sturlasgade 12N, 1. th, 2300 København S", kr. 3.750.000, kr. 740.900, kr. 11.200.000,  193   , kr. 58.031,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1919,  181   ,"12,575083","55,66284414","Sturlasgade 12N,1 th, 2300 København S",Sturlasgade,12N,1,4
131180,"Palermovej 9, st. th, 2300 København S", kr. 810.000, kr. 75.900, kr. 2.250.000,  52   , kr. 43.269,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1937,  48   ,"12,6221901","55,66042973","Palermovej 9,st th, 2300 København S",Palermovej,9,st,2
118367,"Edvard Thomsens Vej 15, 2. tv, 2300 København S", kr. 2.000.000, kr. 458.700, kr. 3.980.000,  100   , kr. 39.800,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  95   ,"12,5734997","55,63313421",-,Edvard Thomsens Vej,15,2,3
103728,"Weidekampsgade 53, 4. tv, 2300 København S", kr. 2.950.000, kr. 536.200, kr. 5.450.000,  106   , kr. 51.415,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2006,  94   ,"12,58176336","55,66692898","Johannevej 33, 2970 Hørsholm",Weidekampsgade,53,4,3
128690,"Ålandsgade 7, 1. th, 2300 København S", kr. 920.000, kr. 71.300, kr. 2.495.000,  49   , kr. 50.918,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1901,  43   ,"12,60487129","55,66423093","Ålandsgade 7,1 th, 2300 København S",Ålandsgade,7,1,2
128690,"Ålandsgade 7, 1. th, 2300 København S", kr. 920.000, kr. 71.300, kr. 2.495.000,  49   , kr. 50.918,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1901,  43   ,"12,60487129","55,66423093","Ålandsgade 7,1 th, 2300 København S",Ålandsgade,7,1,-
107287,"Myggenæsgade 7, 1. 4, 2300 København S", kr. 2.450.000, kr. 386.900, kr. 4.650.000,  90   , kr. 51.666,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2006,  79   ,"12,58359283","55,66552018","Myggenæsgade 7,1,-4, 2300 København S",Myggenæsgade,7,1,3
140267,"Dalføret 5, st. th, 2300 København S", kr. 900.000, kr. 116.900, kr. 2.310.000,  64   , kr. 36.093,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1936,  58   ,"12,60243163","55,65477401","Toftebuen 56, 4000 Roskilde",Dalføret,5,st,2
131035,"Parmagade 21, st. tv, 2300 København S", kr. 1.050.000, kr. 147.700, kr. 3.245.000,  74   , kr. 43.851,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1926,  67   ,"12,61394738","55,65307697","Lærkevej 15, 8240 Risskov",Parmagade,21,st,3
130525,"Amagerbrogade 175, 3. 304, 2300 København S", kr. 930.000, kr. 60.000, kr. 1.950.000,  53   , kr. 36.792,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1969,  44   ,"12,61168408","55,65293965","Pilemosen 3, 2670 Greve",Amagerbrogade,175,3,1
133818,"Parmagade 38, 1. tv, 2300 København S", kr. 800.000, kr. 56.000, kr. 1.800.000,  46   , kr. 39.130,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1934,  41   ,"12,61600185","55,65314667","Parmagade 38,1 tv, 2300 København S",Parmagade,38,1,2
135190,"Frankrigshusene 16, st. tv, 2300 København S", kr. 930.000, kr. 102.500, kr. 2.265.000,  56   , kr. 40.446,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1936,  51   ,"12,60772575","55,66272785","Frankrigshusene 16,st tv, 2300 København S",Frankrigshusene,16,st,2
113692,"Viggo Kampmanns Plads 7, 2. th, 2300 København S", kr. 2.400.000, kr. 211.900, kr. 5.225.000,  87   , kr. 60.057,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",-,  75   ,"12,56563261","55,65492543","Viggo Kampmanns Pl 7,2 th, 2300 København S",Viggo Kampmanns Plads,7,2,2
134985,"Holmbladsgade 105, 2. th, 2300 København S", kr. 960.000, kr. 69.900, kr. 2.205.000,  53   , kr. 41.603,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1914,  45   ,"12,61584705","55,66712726","Holmbladsgade 105,2 th, 2300 København S",Holmbladsgade,105,2,2
127819,"Bremensgade 46, 2. th, 2300 København S", kr. 960.000, kr. 195.400, kr. 2.985.000,  62   , kr. 48.145,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1970,  58   ,"12,61752122","55,66395865","Bremensgade 46,2 th, 2300 København S",Bremensgade,46,2,2
133742,"Milanovej 2, 1. th, 2300 København S", kr. 1.100.000, kr. 95.500, kr. 3.100.000,  67   , kr. 46.268,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1932,  59   ,"12,62318965","55,66126207","Milanovej 2,1 th, 2300 København S",Milanovej,2,1,3
136284,"Kongelundsvej 59A, 1. th, 2300 København S", kr. 1.300.000, kr. 323.000, kr. 3.100.000,  84   , kr. 36.904,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1969,  77   ,"12,58909025","55,63836738","Kongelundsvej 59A,1 th, 2300 København S",Kongelundsvej,59A,1,3
142898,"Amagerbrogade 202, st., 2300 København S", kr. 1.950.000, kr. 304.200, kr. 3.350.000,  117   , kr. 28.632,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1904,  103   ,"12,61245339","55,6499508","Amagerbrogade 202,st, 2300 København S",Amagerbrogade,202,st,4
131290,"Strandlodsvej 19C, 4., 2300 København S", kr. 2.550.000, kr. 450.500, kr. 4.995.000,  110   , kr. 45.409,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",-,  97   ,"12,62307047","55,66515355","Strandlodsvej 19C,4, 2300 København S",Strandlodsvej,19C,4,4
134227,"Hessensgade 23, st. th, 2300 København S", kr. 850.000, kr. 154.700, kr. 2.000.000,  58   , kr. 34.482,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1965,  51   ,"12,61604395","55,66489702","Hessensgade 23,st th, 2300 København S",Hessensgade,23,st,2
131089,"Øresundsvej 49, 2. th, 2300 København S", kr. 1.400.000, kr. 354.900, kr. 3.620.000,  78   , kr. 46.410,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1937,  73   ,"12,61347247","55,66053163","Øresundsvej 49,2 th, 2300 København S",Øresundsvej,49,2,3
112898,"Ørestads Boulevard 57A, 1. 101, 2300 København S", kr. 2.350.000, kr. 498.800, kr. 3.475.000,  118   , kr. 29.449,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2005,  101   ,"12,58224692","55,63443774","Banebrinken 97,st,-49, 2400 København NV",Ørestads Boulevard,57A,1,3
134712,"Sorrentovej 8, 2. mf, 2300 København S", kr. 480.000, kr. 50.400, kr. 1.460.000,  25   , kr. 58.400,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1935,  23   ,"12,62131788","55,65843122",-,Sorrentovej,8,2,1
111419,"Bardenflethsgade 5, 3. tv, 2300 København S", kr. 2.400.000, kr. 320.200, kr. 6.550.000,  114   , kr. 57.456,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2018,  99   ,"12,59301492","55,66633069","Bardenflethsgade 5,3 tv, 2300 København S",Bardenflethsgade,5,3,4
136188,"Reberbanegade 39, 1. tv, 2300 København S", kr. 950.000, kr. 133.700, kr. 2.555.000,  52   , kr. 49.134,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1940,  47   ,"12,6063289","55,66225579","Humlehaven 35, 3050 Humlebæk",Reberbanegade,39,1,2
130251,"Siciliensgade 9, 3. th, 2300 København S", kr. 900.000, kr. 107.100, kr. 2.400.000,  52   , kr. 46.153,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1936,  48   ,"12,61845258","55,65303838","Siciliensgade 9,3 th, 2300 København S",Siciliensgade,9,3,2
134655,"Strandlodsvej 16, st. tv, 2300 København S", kr. 890.000, kr. 39.000, kr. 2.500.000,  57   , kr. 43.859,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1934,  51   ,"12,62048973","55,66653623","Tjørnevej 16, 2970 Hørsholm",Strandlodsvej,16,st,2
135216,"Ålandsgade 47, 1. tv, 2300 København S", kr. 1.000.000, kr. 92.200, kr. 2.497.000,  56   , kr. 44.589,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1940,  51   ,"12,6072517","55,66228376","Ålandsgade 47,1 tv, 2300 København S",Ålandsgade,47,1,2
105082,"Carl Th. Zahles Gade 6, 3. th, 2300 København S", kr. 2.850.000, kr. 471.600, kr. 5.595.000,  118   , kr. 47.415,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2005,  102   ,"12,57412418","55,66238977","Carl Th. Zahles Gade 6,3 th, 2300 København S",Carl Th. Zahles Gade,6,3,3
124658,"Keplersgade 24, 4. tv, 2300 København S", kr. 2.300.000, kr. 118.700, kr. 2.645.000,  130   , kr. 20.346,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1903,  75   ,"12,61239698","55,65379994","Keplersgade 24,4 tv, 2300 København S",Keplersgade,24,4,4
105094,"Carl Th. Zahles Gade 4, 1. tv, 2300 København S", kr. 2.200.000, kr. 374.600, kr. 3.795.000,  92   , kr. 41.250,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2005,  81   ,"12,57381574","55,66251701","Carl Th. Zahles Gade 4,1 tv, 2300 København S",Carl Th. Zahles Gade,4,1,2
108424,"C.F. Møllers Allé 30, 10. tv, 2300 København S", kr. 1.900.000, kr. 366.900, kr. 4.225.000,  93   , kr. 45.430,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  82   ,"12,5760612","55,63472226","C.F. Møllers Allé 30,10 tv, 2300 København S",C.F. Møllers Allé,30,10,3
130130,"Kastrupvej 98A, st. tv, 2300 København S", kr. 930.000, kr. 108.700, kr. 2.340.000,  60   , kr. 39.000,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1937,  57   ,"12,61987016","55,65224767","Kastrupvej 98A,st tv, 2300 København S",Kastrupvej,98A,st,3
135751,"Reberbanegade 49, 1. th, 2300 København S", kr. 830.000, kr. 107.700, kr. 2.600.000,  45   , kr. 57.777,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1940,  42   ,"12,60631003","55,66187283","Reberbanegade 49,1 th, 2300 København S",Reberbanegade,49,1,2
132043,"Krimsvej 5C, 4. th, 2300 København S", kr. 2.450.000, kr. 305.100, kr. 6.575.000,  106   , kr. 62.028,01/07/2021,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",-,  96   ,"12,63032475","55,66126849","Krimsvej 5C,4 th, 2300 København S",Krimsvej,5C,4,4
